id,customer_id,merchant_id,status,created_at,updated_at
1,1,12335938,pending,2009-02-07,2014-03-15
2,1,12334753,shipped,2012-11-23,2013-04-14
3,1,12335955,shipped,2009-12-09,2010-07-10
4,1,12334269,pending,2013-08-05,2014-06-06
5,1,12335311,pending,2014-02-08,2014-07-22
6,1,12334389,pending,2015-03-13,2015-04-05
7,1,12335009,pending,2006-10-16,2013-12-24
8,1,12337139,shipped,2003-11-07,2004-07-31
9,2,12336965,shipped,2003-03-07,2008-10-09
10,2,12334839,pending,2014-04-13,2015-01-20
11,2,12334771,pending,2008-01-07,2014-05-30
12,2,12336617,shipped,2014-05-06,2014-10-06
13,3,12335955,shipped,2004-02-14,2010-03-26
14,3,12335150,pending,2005-12-19,2010-08-18
15,3,12336730,shipped,2012-07-21,2014-07-01
16,5,12336113,shipped,2014-07-26,2014-08-25
17,5,12334912,pending,2005-06-03,2015-07-01
18,5,12334839,shipped,2001-12-13,2006-05-02
19,5,12334372,shipped,2004-09-28,2012-08-28
20,5,12336163,shipped,2010-09-17,2012-10-11
21,5,12336069,shipped,2012-08-28,2016-01-19
22,5,12335902,shipped,2013-12-26,2014-04-21
23,5,12336652,pending,2012-12-20,2013-01-29
24,6,12335989,shipped,2003-10-30,2008-06-22
25,6,12334264,returned,2011-08-08,2015-07-21
26,6,12335690,shipped,2008-04-04,2009-04-27
27,6,12335319,shipped,2011-06-21,2013-07-22
28,6,12336161,shipped,2013-05-26,2014-11-20
29,7,12334861,shipped,2008-09-21,2010-10-21

30,7,12334208,pending,2001-11-24,2009-11-13
31,7,12335417,shipped,2003-10-23,2015-12-01
32,7,12336821,shipped,2015-02-17,2015-08-02
33,8,12334755,shipped,2005-01-18,2014-09-26
34,8,12334230,shipped,2015-01-24,2015-06-15
35,9,12336163,pending,2005-01-21,2005-06-29
36,9,12335345,shipped,2012-11-04,2013-09-01
37,9,12334873,returned,2009-08-31,2015-01-01
38,9,12335807,pending,2001-11-20,2014-05-23
39,9,12335335,shipped,2007-10-27,2013-01-08
40,9,12334488,shipped,2005-05-05,2013-04-08
41,9,12336592,pending,2004-12-27,2013-11-25
42,9,12335659,shipped,2005-07-15,2015-01-04
43,9,12334521,shipped,2013-01-25,2014-06-23
44,9,12335458,shipped,2013-12-12,2014-03-03
45,10,12335778,pending,2016-01-12,2016-01-19
46,10,12336837,shipped,2005-11-11,2015-05-03
47,10,12336113,shipped,2007-12-18,2009-04-17
48,10,12334986,pending,2009-09-05,2012-08-17
49,10,12335021,returned,2009-08-07,2012-07-28
50,10,12336299,pending,2007-06-10,2013-10-30
51,10,12335314,shipped,2015-04-10,2016-01-12
52,10,12335941,shipped,2015-05-12,2016-01-09
53,11,12335051,shipped,2007-03-21,2010-03-20
54,11,12334930,pending,2002-02-14,2010-07-22
55,11,12334365,pending,2004-01-25,2008-10-14
56,11,12336053,shipped,2000-07-21,2013-12-30
57,11,12335805,pending,2007-09-12,2009-01-15
